,Total_Importance,Xx,Yy,Size,Segment
376,2.0061774332617364,82,138,2.6305055618286133,109
377,0.66171716826305,265,138,10.986193656921387,296
378,1.3070909471292835,248,139,1.8762263059616089,271
379,1.9886104600210412,288,140,2.1150710582733154,328
380,2.0467939231450774,288,140,2.1150710582733154,328
381,1.8867835748471509,257,141,1.93547785282135,296
382,2.130670094000268,257,141,1.93547785282135,296
383,1.175843012828547,135,142,2.1846959590911865,146
384,1.319512635143851,135,142,2.1846959590911865,146
385,1.4791666840444808,135,142,2.1846959590911865,146
386,2.0679875207782086,67,142,1.9413855075836182,55
387,1.4123775343965483,73,143,3.5823516845703125,55
388,1.6891799718010554,73,145,2.0793910026550293,55
389,1.3295435172266148,294,145,2.5392558574676514,321
390,1.153586304667631,248,146,2.348294496536255,271
391,0.6383088159595668,263,147,2.14968204498291,296
392,0.6605731143235817,76,148,4.289683818817139,82
393,0.5411262062126432,71,150,1.9281072616577148,55
394,1.3129024857954286,100,150,3.0689380168914795,109
395,1.660851022144752,21,150,1.9470605850219727,33
396,1.6121074142285907,21,150,1.9470605850219727,33
397,1.158942454737618,270,152,7.911814212799072,300
398,1.56960128627858,88,152,2.3958792686462402,103
399,1.6467714673060578,259,154,1.8435747623443604,276
400,1.7723592464775013,259,154,1.8435747623443604,276
401,1.577883577942321,295,158,2.083514451980591,311
402,0.567231376648643,295,158,2.083514451980591,311
403,1.6200802734602464,295,158,2.083514451980591,311
404,1.5498133766110085,33,159,11.13675594329834,53
405,1.4486937880146593,257,160,1.9286270141601562,293
406,1.2429831933048257,257,160,1.9286270141601562,293
407,1.4876081583775096,257,160,1.9286270141601562,293
408,1.2636293560456724,227,160,2.5525360107421875,254
409,1.412217723224971,227,160,2.5525360107421875,254
410,2.028708235693473,284,161,11.273571968078613,311
411,2.0542951403199985,284,161,11.273571968078613,311
412,1.3683284073620317,282,161,2.0122344493865967,311
413,1.6492538916641912,270,163,2.8772408962249756,311
414,1.5690332584621467,270,163,2.8772408962249756,311
415,0.7516061761241928,21,163,4.513610363006592,33
416,1.1250479842285634,145,165,5.208841323852539,159
417,1.143236995535265,145,165,5.208841323852539,159
418,1.2681165932017382,145,165,5.208841323852539,159
419,1.1089011323607956,228,166,2.302947759628296,254
420,1.3186941920603739,228,166,2.302947759628296,254
421,1.02132283948675,5,167,3.8972136974334717,11
422,1.1009233241870768,269,167,2.427975654602051,293
423,1.2306707454660497,269,167,2.427975654602051,293
424,2.2509304154841483,265,168,1.9560072422027588,293
425,1.2250797124216986,208,169,2.346128463745117,233
426,1.4056506057880611,296,169,2.0893752574920654,329
427,1.996800083248474,245,170,2.152601957321167,283
428,1.9048532058790253,48,171,36.692596435546875,56
429,2.092074022320044,270,172,2.950525999069214,283
430,2.1692985281374577,270,172,2.950525999069214,283
431,1.3722737474049633,236,172,2.4859628677368164,261
432,1.3650275765599935,278,173,3.167933225631714,313
433,1.6795800238593617,6,173,2.6097323894500732,16
434,1.3829642238908149,277,174,2.045086622238159,313
435,1.1012011230821936,277,174,2.045086622238159,313
436,0.587825291429244,7,174,4.638696193695068,16
437,1.6623251610275254,222,176,2.0804474353790283,238
438,1.145873593536349,270,177,3.099334478378296,313
439,0.6174375188068502,138,178,10.829026222229004,159
440,2.21637962216489,230,178,2.414369821548462,255
441,1.0835128424397393,10,181,3.512798309326172,8
442,1.3409716121861206,10,181,3.512798309326172,8
443,2.027484691047775,256,181,2.389312267303467,280
444,2.0746211686581044,269,182,3.327662706375122,305
445,1.3644815092329996,222,183,3.0283315181732178,255
446,0.5910583256896438,289,183,2.3560774326324463,313
447,1.398239207393811,240,185,2.0859172344207764,261
448,0.6346944559643559,244,185,3.008049726486206,280
449,1.1868981093741835,284,185,2.373176336288452,313
450,1.6408232110918506,264,188,2.5183522701263428,280
